vote_id,vote_date,vote_category,bill_id,impact_tag,reason_code,sponsor_party,source_url,notes
s-119-1-509,2025-09-09,NOMINATION,pn-346-3-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00509.xml,
s-119-1-510,2025-09-09,PROCEDURAL,sres-377-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00510.xml,
s-119-1-511,2025-09-09,PROCEDURAL,sres-377-119,,PROCEDURAL_CATEGORY,,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1191/vote_119_1_00511.xml,
h-119-1-244,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll244.xml,
h-119-1-245,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll245.xml,
h-119-1-246,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll246.xml,
h-119-1-247,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll247.xml,
h-119-1-248,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll248.xml,
h-119-1-249,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll249.xml,
h-119-1-250,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll250.xml,
h-119-1-251,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll251.xml,
h-119-1-252,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll252.xml,
h-119-1-253,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll253.xml,
h-119-1-254,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll254.xml,
h-119-1-255,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll255.xml,
h-119-1-256,2025-09-10,AMENDMENT,hr-3838-119,,NO_IMPACT_TAG,,https://clerk.house.gov/evs/2025/roll256.xml,
